,roc_auc,mcc,recall,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/nb_epoch,config/graph_conv_layers,config/dense_layer_size,config/dropout,logdir
37,0.9175698361536395,0.6735351288249064,0.8264840182648402,True,4,f2b99_00037,2024-06-17_11-21-25,1718637685,0.04176497459411621,0.626072883605957,168337,HPGD,172.27.21.110,0.626072883605957,4,70,"[64, 64]",256,0.0,f2b99_00037
38,0.8990901154982541,0.625177983717076,0.7442922374429224,True,1,f2b99_00038,2024-06-17_11-21-54,1718637714,0.5032200813293457,0.5032200813293457,169082,HPGD,172.27.21.110,0.5032200813293457,1,70,"[64, 64]",512,0.0,f2b99_00038
39,0.9127954606500135,0.6358128841977224,0.9041095890410958,True,1,f2b99_00039,2024-06-17_11-22-25,1718637745,0.4912300109863281,0.4912300109863281,169818,HPGD,172.27.21.110,0.4912300109863281,1,70,"[64, 64]",128,0.1,f2b99_00039
40,0.9156056943325275,0.6602445214333613,0.8904109589041096,True,1,f2b99_00040,2024-06-17_11-22-55,1718637775,0.4940817356109619,0.4940817356109619,170558,HPGD,172.27.21.110,0.4940817356109619,1,70,"[64, 64]",256,0.1,f2b99_00040
41,0.9179257319366103,0.6501835573489443,0.8767123287671232,True,4,f2b99_00041,2024-06-17_11-23-25,1718637805,0.0380101203918457,0.6530411243438721,171297,HPGD,172.27.21.110,0.6530411243438721,4,70,"[64, 64]",512,0.1,f2b99_00041
42,0.9113584474885845,0.6696298913108994,0.8812785388127854,True,1,f2b99_00042,2024-06-17_11-23-55,1718637835,0.48957180976867676,0.48957180976867676,172064,HPGD,172.27.21.110,0.48957180976867676,1,70,"[64, 64]",128,0.2,f2b99_00042
43,0.9153639538006983,0.5972372904190695,0.9178082191780822,True,1,f2b99_00043,2024-06-17_11-24-24,1718637864,0.5547854900360107,0.5547854900360107,172806,HPGD,172.27.21.110,0.5547854900360107,1,70,"[64, 64]",256,0.2,f2b99_00043
44,0.9179794520547946,0.6163210246941984,0.8812785388127854,True,4,f2b99_00044,2024-06-17_11-24-56,1718637896,0.044526100158691406,0.6707005500793457,173545,HPGD,172.27.21.110,0.6707005500793457,4,70,"[64, 64]",512,0.2,f2b99_00044
45,0.9073764437281762,0.6511945213276813,0.7899543378995434,True,1,f2b99_00045,2024-06-17_11-25-27,1718637927,0.5068304538726807,0.5068304538726807,174334,HPGD,172.27.21.110,0.5068304538726807,1,70,"[128, 128]",128,0.0,f2b99_00045
46,0.9158843674456083,0.6656543319944934,0.7945205479452054,True,1,f2b99_00046,2024-06-17_11-25-57,1718637957,0.49912214279174805,0.49912214279174805,175087,HPGD,172.27.21.110,0.49912214279174805,1,70,"[128, 128]",256,0.0,f2b99_00046
47,0.8877115229653505,0.6384889823865717,0.8310502283105022,True,1,f2b99_00047,2024-06-17_11-26-27,1718637987,0.4976959228515625,0.4976959228515625,175825,HPGD,172.27.21.110,0.4976959228515625,1,70,"[128, 128]",512,0.0,f2b99_00047
48,0.9133998119795863,0.6309800376844784,0.8904109589041096,True,1,f2b99_00048,2024-06-17_11-26-57,1718638017,0.505373477935791,0.505373477935791,176550,HPGD,172.27.21.110,0.505373477935791,1,70,"[128, 128]",128,0.1,f2b99_00048
49,0.9159448025785657,0.641101083284162,0.8858447488584474,True,4,f2b99_00049,2024-06-17_11-27-27,1718638047,0.04256129264831543,0.6421773433685303,177291,HPGD,172.27.21.110,0.6421773433685303,4,70,"[128, 128]",256,0.1,f2b99_00049
50,0.9152632285791029,0.6619911772220894,0.8356164383561644,True,1,f2b99_00050,2024-06-17_11-27-58,1718638078,0.4891164302825928,0.4891164302825928,178160,HPGD,172.27.21.110,0.4891164302825928,1,70,"[128, 128]",512,0.1,f2b99_00050
51,0.9122045393499866,0.6098679684187569,0.8949771689497716,True,1,f2b99_00051,2024-06-17_11-28-28,1718638108,0.5088942050933838,0.5088942050933838,179230,HPGD,172.27.21.110,0.5088942050933838,1,70,"[128, 128]",128,0.2,f2b99_00051
52,0.906490061778136,0.6091404028454104,0.8493150684931506,True,1,f2b99_00052,2024-06-17_11-29-00,1718638140,0.49341607093811035,0.49341607093811035,180074,HPGD,172.27.21.110,0.49341607093811035,1,70,"[128, 128]",256,0.2,f2b99_00052
53,0.9137758528068762,0.6512961324429324,0.8584474885844748,True,1,f2b99_00053,2024-06-17_11-29-30,1718638170,0.5014841556549072,0.5014841556549072,180925,HPGD,172.27.21.110,0.5014841556549072,1,70,"[128, 128]",512,0.2,f2b99_00053
